Traffic Police Station,Carry excess Passenger,Causing Obstruction To Free Flow Of Traffic,Demanding excess fare from the passenger,Disobedience of Police order/direction,Drunk and Drive,Failed to produce valid PUCC,Honking,Jumping signal,Lane cutting,Modification in Silencer,No Entry In Oneway,Other M.V. Acts,Police stop violation,Refusal To Ply,Speed Violation,Tinted glasses/Black Film,Triple Seat,Unauthorised Modification In Vehicle,W\O Permit,Without Helmet,Without M.D.L,Without Seatbelt,Without Uniform,Wrong side driving,Grand Total
Aarey Police Station,3,28,0,6,0,57,0,0,0,0,3,662,1,0,0,0,14,0,0,579,5,14,16,27,1415
Gorai Police Station,12,1,0,3,0,3,0,0,0,0,0,291,3,11,0,0,26,0,4,906,10,5,8,1,1284
Vakola Police Station,4,48,2,1,1,3,0,0,0,0,10,412,0,2,0,1,31,0,13,636,21,5,14,1,1205
Matunga Police Station,6,331,0,6,0,50,2,5,0,1,4,265,0,2,0,7,27,0,1,291,4,28,1,2,1033
Charkop Police Station,1,6,0,0,0,4,0,8,0,0,12,183,1,2,0,0,17,0,0,716,10,0,1,20,981
Mankhurd Police Station,62,58,32,2,0,9,0,1,3,0,5,415,3,2,0,12,16,0,0,267,25,31,3,13,959
Malbarhill Police Station,6,418,0,1,0,0,1,3,0,0,8,156,0,0,0,0,6,0,0,193,5,23,0,3,823
B.K.C Police Station,7,101,1,2,0,5,0,5,0,0,3,239,4,29,0,8,17,1,6,164,3,20,13,3,631
M.H.B Police Station,1,97,1,1,0,4,3,6,0,0,61,137,2,4,0,0,3,0,2,240,8,1,3,0,574
Azad maidan Police Station,3,169,0,3,0,54,0,2,0,0,1,162,0,1,0,0,11,0,0,81,3,5,0,1,496
Marin Drive Police Station,2,2,0,7,0,1,0,0,0,0,0,55,0,0,0,0,6,0,0,27,2,2,0,6,110
M.R.A. Marg Police Station,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4
Grand Total,6940,135718,123,2199,66,12923,539,18460,90,31,12979,162494,2296,6647,492,516,13172,127,447,447069,4343,11678,4662,3755,847766
